county,MDI rate,Standard Error
20037,0.1055,0.0157
20039,0.1210,0.0182
20041,0.0831,0.0093
20043,0.0565,0.0134
20045,0.1414,0.0283
20047,0.1324,0.0188
20049,0.1316,0.0209
20051,0.1210,0.0182
20053,0.0831,0.0093
20055,0.1191,0.0216
20057,0.1191,0.0216
20059,0.1424,0.0221
20061,0.0983,0.0176
20063,0.1210,0.0182
20065,0.1210,0.0182
20067,0.1191,0.0216
20069,0.1191,0.0216
20071,0.1210,0.0182
20073,0.1316,0.0209
20075,0.1191,0.0216
20077,0.1324,0.0188
20079,0.0436,0.0075
20081,0.1191,0.0216
20083,0.1191,0.0216
20085,0.0620,0.0098
20087,0.0565,0.0134
20089,0.0831,0.0093
20091,0.0595,0.0051
20093,0.1191,0.0216
20095,0.1324,0.0188
20097,0.1324,0.0188
20099,0.1055,0.0157
20101,0.1210,0.0182
20103,0.0565,0.0134
20105,0.0831,0.0093
20107,0.1424,0.0221
20109,0.1210,0.0182
20111,0.1316,0.0209
20113,0.0974,0.0163
20115,0.1316,0.0209
20117,0.0831,0.0093
20119,0.1191,0.0216
20121,0.1424,0.0221
20123,0.0831,0.0093
20125,0.1055,0.0157
20127,0.1316,0.0209
20129,0.1191,0.0216
20131,0.0831,0.0093
20133,0.1055,0.0157
20135,0.1210,0.0182
20137,0.1210,0.0182
20139,0.0620,0.0098
20141,0.1210,0.0182
20143,0.0831,0.0093
20145,0.1324,0.0188
20147,0.1210,0.0182
20149,0.0983,0.0176
20151,0.1324,0.0188
20153,0.1210,0.0182
20155,0.0974,0.0163
20157,0.0831,0.0093
20159,0.0974,0.0163
20161,0.0983,0.0176
20163,0.1210,0.0182
20165,0.1324,0.0188
20167,0.1210,0.0182
20169,0.0831,0.0093
20171,0.1210,0.0182
20173,0.1271,0.0184
20175,0.1191,0.0216
20177,0.0956,0.0176
20179,0.1210,0.0182
20181,0.1210,0.0182
20183,0.1210,0.0182
20185,0.1324,0.0188
20187,0.1191,0.0216
20189,0.1191,0.0216
20191,0.1324,0.0188
20193,0.1210,0.0182
20195,0.1210,0.0182
20197,0.0620,0.0098
20199,0.1210,0.0182
20201,0.0831,0.0093
20203,0.1210,0.0182
20205,0.1316,0.0209
20207,0.1316,0.0209
20209,0.1847,0.0201
21001,0.1783,0.0206
21003,0.2007,0.0175
21005,0.1241,0.0196
21007,0.1225,0.0192
21009,0.2007,0.0175
21011,0.1961,0.0182
21013,0.3254,0.0289
21015,0.0790,0.0183
21017,0.1392,0.0185
21019,0.2533,0.0221
21021,0.1361,0.0228
21023,0.1961,0.0182
21025,0.3105,0.0232
21027,0.1436,0.0191
21029,0.0791,0.0163
21031,0.2007,0.0175
21033,0.2058,0.0253
21035,0.1225,0.0192
21037,0.1123,0.0111
21039,0.1225,0.0192
21041,0.1123,0.0111
21043,0.2533,0.0221
21045,0.1783,0.0206
21047,0.1725,0.0291
21049,0.1392,0.0185
21051,0.3374,0.0308
21053,0.1783,0.0206
21055,0.2058,0.0253
21057,0.1783,0.0206
21059,0.1443,0.0217
21061,0.2007,0.0175
21063,0.2533,0.0221
21065,0.1462,0.0213
21067,0.1537,0.0181
21069,0.1961,0.0182
